Bài,生词,Pinyin,描述,意义,例如,复习,检查
Bài 1,爽快,#NAME?,,dễ dàng,我本来以为他会考虑很久，要不要借给我钱，没想到他答应得特别爽快。,爽快,TRUE
Bài 1,别嚷了,#NAME?,,Đừng la hét nữa,"别嚷了，大家都在睡觉。（Bié rǎng le, dàjiā dōu zài shuìjiào）",别嚷了,TRUE
Bài 1,巴不得,#NAME?,,lo lắng,最近工作太累了，我巴不得马上到周末，好好休息。,巴不得,TRUE
Bài 1,异常,#NAME?,,bất thường,她今天异常安静，和平时爱聊天的样子完全不一样。,异常,TRUE
Bài 1,十足,#NAME?,,Đầy,他是个十足的工作狂，经常忙到半夜才回家。,十足,TRUE
Bài 1,融洽,#NAME?,,Hòa hợp,我跟同事之间的关系很融洽，所以工作环境也特别轻松。,融洽,TRUE
Bài 1,讨好,#NAME?,,sự nịnh hót,我觉得做人没必要一直讨好别人，做真实的自己更重要。,讨好,TRUE
Bài 1,打架,#NAME?,,trận đánh,小时候我和妹妹经常因为一些小事情打架，现在想起来觉得很好笑。,打架,TRUE
Bài 1,亲密,#NAME?,,thân thiết,虽然妹妹和小林认识的时间不长，但是看起来已经很亲密了。,亲密,TRUE
Bài 1,留恋,#NAME?,,Nỗi nhớ,每次回老家看望爷爷奶奶，临走时我都很留恋家里的温馨气氛。,留恋,TRUE
Bài 1,开朗,#NAME?,,vui vẻ,我妹妹性格非常开朗，总能给全家人带来欢笑。,开朗,TRUE
Bài 1,闲话,#NAME?,,chuyện phiếm,妈妈常对我说，过好自己的日子就行，不要去管别人的闲话。,闲话,TRUE
Bài 1,风趣,#NAME?,,hài hước,爸爸是个幽默的人，说话很风趣，经常把妈妈逗笑。,风趣,TRUE
Bài 1,恩怨,#NAME?,,sự oán giận,别看这俩兄弟天天吵架，其实他们心里根本没有恩怨，一会儿就又一起玩了。,恩怨,TRUE
Bài 1,娇气,#NAME?,,Thanh tú,父母从小就培养我的独立能力，不想让我变成一个娇气的孩子。,娇气,TRUE
